Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Name
3.5,1.5,1.8,1.0,Acer pseudoplatanus
5.0,1.5,1.8,1.5,Acer pseudoplatanus
4.5,1.5,1.8,1.3,Acer pseudoplatanus
5.0,2.5,4.9,1.5,Acer pseudoplatanus
8.0,1.5,1.8,2.4,Cupressus
4.5,1.5,1.8,1.3,Acer pseudoplatanus
4.0,2.0,3.1,1.2,Acer pseudoplatanus
4.0,2.0,3.1,1.2,Acer pseudoplatanus
3.5,1.5,1.8,1.0,Acer pseudoplatanus
5.0,2.0,3.1,1.5,Acer pseudoplatanus
5.0,2.5,4.9,1.5,Acer platanoides
4.0,2.0,3.1,1.2,Acer pseudoplatanus
5.0,2.0,3.1,1.5,Acer platanoides
3.0,1.5,1.8,0.9,Acer pseudoplatanus
4.0,2.0,3.1,1.2,Acer pseudoplatanus
4.5,1.5,1.8,1.3,Acer pseudoplatanus
5.0,2.0,3.1,1.5,Sophora japonica
4.5,3.0,7.1,1.3,Tilia cordata
5.0,3.0,7.1,1.5,Tilia cordata
5.0,3.0,7.1,1.5,Tilia cordata
4.0,2.0,3.1,1.2,Tilia cordata
6.0,6.0,28.3,1.8,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,5.0,19.6,2.1,Tilia cordata
4.0,3.0,7.1,1.2,Acer pseudoplatanus
6.0,3.0,7.1,1.8,Acer pseudoplatanus
6.0,3.5,9.6,1.8,Acer pseudoplatanus
5.0,2.5,4.9,1.5,Acer pseudoplatanus
5.0,2.5,4.9,1.5,Acer pseudoplatanus
5.0,2.5,4.9,1.5,Acer pseudoplatanus
5.0,2.0,3.1,1.5,Acer pseudoplatanus
5.0,3.0,7.1,1.5,Acer pseudoplatanus
5.0,3.0,7.1,1.5,Acer pseudoplatanus
5.0,1.0,0.8,1.5,Acer pseudoplatanus
5.0,2.0,3.1,1.5,Acer pseudoplatanus
6.0,2.0,3.1,1.8,Acer campestre
8.0,2.0,3.1,2.4,Acer campestre
4.0,3.0,7.1,1.2,Acer campestre
4.0,2.0,3.1,1.2,Acer tataricum ssp. ginnala
4.0,2.0,3.1,1.2,Acer tataricum ssp. ginnala
4.5,1.5,1.8,1.3,Fagus
4.5,1.5,1.8,1.3,Fagus
4.5,1.5,1.8,1.3,Fagus
4.5,1.5,1.8,1.3,Fagus
4.5,1.5,1.8,1.3,Fagus
4.5,1.5,1.8,1.3,Fagus
3.5,2.0,3.1,1.0,Fagus
4.5,1.5,1.8,1.3,Fagus
5.0,2.0,3.1,1.5,Acer campestre
5.0,2.0,3.1,1.5,Acer opalus
4.5,3.0,7.1,1.3,Tilia cordata
