Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
5.5,5.0,19.6,1.7,5.0,Aesculus hippocastanum
8.0,3.0,7.1,2.4,2.6,Celtis australis
12.0,10.0,78.5,3.6,4.3,Celtis australis
11.0,8.0,50.3,3.3,3.9,Celtis australis
11.0,8.0,50.3,3.3,14.2,Tilia cordata
7.0,5.0,19.6,2.1,15.5,Carpinus betulus
11.0,8.0,50.3,3.3,4.8,Celtis australis
8.0,6.0,28.3,2.4,3.3,Celtis australis
5.0,4.0,12.6,1.5,11.9,Tilia cordata
6.0,6.0,28.3,1.8,6.0,Tilia cordata
8.0,11.0,95.0,2.4,4.9,Celtis australis
12.0,3.0,7.1,3.6,10.5,Carpinus betulus
7.0,6.0,28.3,2.1,20.8,Aesculus hippocastanum
7.0,8.0,50.3,2.1,2.8,Celtis australis
6.0,4.0,12.6,1.8,6.1,Carpinus betulus
12.0,6.0,28.3,3.6,9.9,Carpinus betulus
2.5,1.5,1.8,0.8,2.2,Tilia cordata
5.5,2.0,3.1,1.7,4.6,Platanus x hispanica
26.0,20.0,314.2,7.8,21.7,Platanus x hispanica
5.0,4.0,12.6,1.5,2.5,Celtis australis
6.0,2.0,3.1,1.8,3.0,Platanus x hispanica
6.0,1.5,1.8,1.8,2.5,Platanus x hispanica
9.0,7.0,38.5,2.7,3.8,Celtis australis
4.0,2.5,4.9,1.2,3.0,Tilia cordata
4.0,2.5,4.9,1.2,3.4,Tilia cordata
10.0,10.0,78.5,3.0,46.9,Aesculus hippocastanum
7.0,6.0,28.3,2.1,7.9,Platanus x hispanica
8.0,3.0,7.1,2.4,10.5,Carpinus betulus
6.0,2.0,3.1,1.8,5.9,Platanus x hispanica
8.0,4.0,12.6,2.4,25.5,Aesculus hippocastanum
15.0,11.5,103.9,4.5,5.5,Celtis australis
5.0,3.0,7.1,1.5,1.6,Celtis australis
13.0,11.0,95.0,3.9,5.1,Celtis australis
8.0,5.0,19.6,2.4,8.6,Carpinus betulus
4.0,8.0,50.3,1.2,3.9,Celtis australis
5.0,3.0,7.1,1.5,4.2,Tilia cordata
6.0,6.0,28.3,1.8,3.1,Celtis australis
4.0,5.0,19.6,1.2,2.1,Celtis australis
6.0,4.0,12.6,1.8,5.1,Tilia cordata
8.0,6.0,28.3,2.4,2.6,Celtis australis
12.0,8.0,50.3,3.6,47.3,Aesculus hippocastanum
6.0,4.0,12.6,1.8,2.4,Celtis australis
3.5,1.5,1.8,1.0,1.3,Celtis australis
5.0,6.0,28.3,1.5,3.4,Celtis australis
4.0,2.5,4.9,1.2,2.6,Tilia cordata
11.0,6.0,28.3,3.3,30.8,Aesculus hippocastanum
6.0,5.0,19.6,1.8,7.3,Carpinus betulus
5.0,3.0,7.1,1.5,3.4,Tilia cordata
4.0,1.0,0.8,1.2,2.5,Platanus x hispanica
5.0,2.0,3.1,1.5,4.5,Carpinus betulus
6.0,4.0,12.6,1.8,2.6,Celtis australis
10.0,6.0,28.3,3.0,17.9,Carpinus betulus
6.0,6.0,28.3,1.8,3.7,Celtis australis
7.0,4.0,12.6,2.1,26.3,Aesculus hippocastanum
9.0,7.0,38.5,2.7,3.7,Celtis australis
5.0,2.0,3.1,1.5,4.0,Carpinus betulus
4.0,1.0,0.8,1.2,1.8,Tilia cordata
4.0,4.0,12.6,1.2,1.7,Celtis australis
4.5,4.0,12.6,1.3,2.3,Celtis australis
8.0,7.0,38.5,2.4,14.2,Tilia cordata
3.5,1.5,1.8,1.0,4.5,Carpinus betulus
