date,value,min,max
2015-01-01,0.0,-4.3,2.7
2015-01-02,0.0,-1.7,6.0
2015-01-03,0.0,-1.3,9.3
2015-01-04,0.4,1.7,13.7
2015-01-05,0.0,-1.8,6.6
2015-01-06,0.0,-3.2,8.0
2015-01-07,0.0,-3.1,2.7
2015-01-08,0.0,-3.3,4.4
2015-01-09,0.1,-2.2,5.8
2015-01-10,0.0,0.8,10.2
2015-01-11,0.0,0.2,14.2
2015-01-12,0.0,0.7,8.0
2015-01-13,0.0,-2.0,4.8
2015-01-14,0.0,1.4,8.7
2015-01-15,0.0,-0.3,5.1
2015-01-16,1.4,2.2,4.5
2015-01-17,46.9,4.4,7.5
2015-01-18,5.7,2.5,7.3
2015-01-19,0.0,-0.1,6.6
2015-01-20,0.0,-0.6,6.3
2015-01-21,0.0,1.2,3.6
2015-01-22,1.0,1.0,6.0
2015-01-23,0.0,3.4,12.0
2015-01-24,0.0,5.3,11.4
2015-01-25,0.0,5.1,9.6
2015-01-26,0.0,0.3,7.3
2015-01-27,0.0,-1.8,9.5
2015-01-28,0.0,-0.8,8.2
2015-01-29,0.0,-2.8,3.9
2015-01-30,0.4,-2.2,6.1
2015-01-31,0.1,-4.2,2.4
2015-02-01,0.0,-3.2,6.0
2015-02-02,0.0,-5.6,5.1
2015-02-03,0.0,-4.5,2.6
2015-02-04,0.0,0.2,6.9
2015-02-05,0.0,1.5,6.6
2015-02-06,14.3,3.0,7.6
2015-02-07,0.0,0.9,6.9
2015-02-08,0.0,-0.4,10.1
2015-02-09,0.0,0.3,8.2
2015-02-10,0.1,2.0,15.1
2015-02-11,0.0,-0.8,11.3
2015-02-12,0.0,-1.4,11.2
2015-02-13,0.0,3.2,6.7
2015-02-14,0.0,3.7,5.8
2015-02-15,4.3,3.2,7.4
2015-02-16,0.3,3.1,10.5
2015-02-17,0.0,0.1,11.4
2015-02-18,0.0,-0.1,11.1
2015-02-19,0.0,-0.9,10.7
2015-02-20,0.0,-1.6,10.7
2015-02-21,0.0,3.7,6.0
2015-02-22,8.1,3.8,11.9
2015-02-23,0.8,3.2,10.8
2015-02-24,0.5,4.7,9.3
2015-02-25,3.6,7.8,11.6
2015-02-26,0.0,5.6,11.4
2015-02-27,0.0,4.8,8.1
2015-02-28,0.1,5.1,13.9
2015-03-01,0.0,4.4,12.9
2015-03-02,0.0,6.4,8.8
2015-03-03,0.4,2.9,13.5
2015-03-04,0.0,2.8,12.6
2015-03-05,0.0,7.6,10.7
2015-03-06,0.0,1.9,15.1
2015-03-07,0.0,0.8,14.2
2015-03-08,0.0,-0.2,15.0
2015-03-09,0.0,0.9,11.3
2015-03-10,0.0,2.4,16.5
2015-03-11,0.1,4.0,18.3
2015-03-12,0.0,5.4,15.6
2015-03-13,0.0,1.4,15.1
2015-03-14,0.0,4.4,14.0
2015-03-15,0.0,4.6,13.2
2015-03-16,1.1,6.3,10.4
2015-03-17,1.8,6.2,12.4
2015-03-18,0.0,3.1,16.6
2015-03-19,0.0,4.5,17.6
2015-03-20,0.0,6.9,16.3
2015-03-21,0.0,6.8,12.5
2015-03-22,2.9,6.6,10.9
2015-03-23,0.3,4.3,14.4
2015-03-24,0.0,9.0,15.7
2015-03-25,0.0,8.7,14.6
2015-03-26,6.0,8.5,12.1
2015-03-27,3.9,9.7,16.9
2015-03-28,0.0,9.3,20.0
2015-03-29,0.0,4.6,16.3
2015-03-30,0.0,6.3,16.1
2015-03-31,0.0,7.2,20.9
2015-04-01,0.0,10.2,15.7
2015-04-02,0.0,2.9,16.6
2015-04-03,0.0,8.6,17.0
2015-04-04,0.0,5.7,15.4
2015-04-05,0.3,7.2,12.9
2015-04-06,0.0,4.1,12.8
2015-04-07,0.0,5.5,15.6
2015-04-08,0.0,5.0,21.3
2015-04-09,0.0,4.3,20.4
2015-04-10,0.0,5.3,20.9
2015-04-11,0.0,8.5,20.3
2015-04-12,0.0,8.0,22.9
2015-04-13,0.0,8.3,25.0
2015-04-14,0.0,11.1,23.4
2015-04-15,0.0,8.6,25.2
