year,month,min,max,mean
1993,January,-9.0,-1.0,-5.0
1993,February,-6.0,2.0,-2.0
1993,March,-5.0,5.0,0.0
1993,April,-1.0,11.0,5.0
1993,May,6.0,18.0,12.0
1993,June,10.0,21.0,15.5
1993,July,8.0,23.0,15.5
1993,August,7.0,20.0,13.5
1993,September,6.0,14.0,10.0
1993,October,-1.0,6.0,2.5
1993,November,-7.0,1.0,-3.0
1993,December,-11.0,-2.0,-6.5
1997,January,-6.0,1.0,-2.5
1997,February,-7.0,1.0,-3.0
1997,March,-2.0,12.0,5.0
1997,April,-1.0,14.0,6.5
1997,May,5.0,15.0,10.0
1997,June,8.0,14.0,11.0
1997,July,9.0,22.0,15.5
1997,August,10.0,20.0,15.0
1997,September,6.0,21.0,13.5
1997,October,-5.0,4.0,-0.5
1997,November,-3.0,4.0,0.5
1997,December,-7.0,0.0,-3.5
2001,January,-8.0,-2.0,-5.0
2001,February,-6.0,3.0,-1.5
2001,March,-1.0,3.0,1.0
2001,April,0.0,9.0,4.5
2001,May,7.0,17.0,12.0
2001,June,6.0,17.0,11.5
2001,July,12.0,23.0,17.5
2001,August,10.0,23.0,16.5
2001,September,3.0,15.0,9.0
2001,October,5.0,13.0,9.0
2001,November,-6.0,1.0,-2.5
2001,December,-11.0,-3.0,-7.0
2005,January,-6.7,0.4,-3.15
2005,February,-6.8,1.4,-2.7
2005,March,-8.2,-0.2,-4.2
2005,April,2.9,12.0,7.45
2005,May,7.4,17.0,12.2
2005,June,10.0,21.2,15.6
2005,July,12.8,21.4,17.1
2005,August,12.2,17.6,14.9
2005,September,9.6,17.8,13.7
2005,October,2.9,12.1,7.5
2005,November,-4.8,0.4,-2.2
2005,December,-9.6,-1.1,-5.35
2009,January,-8.9,-0.6,-4.75
2009,February,-4.8,1.7,-1.55
2009,March,-0.6,5.9,2.65
2009,April,6.0,12.3,9.15
2009,May,9.5,18.1,13.8
2009,June,10.0,21.3,15.65
2009,July,13.1,20.3,16.7
2009,August,13.4,24.9,19.15
2009,September,10.0,15.2,12.6
2009,October,0.6,11.0,5.8
2009,November,-1.4,7.1,2.85
2009,December,-9.5,-2.0,-5.75
2013,January,-3.3,1.7,-0.8
2013,February,-3.4,-0.3,-1.85
2013,March,-0.8,2.2,0.7
2013,April,3.5,10.2,6.85
2013,May,5.1,12.7,8.9
2013,June,10.1,19.6,14.85
2013,July,13.7,27.4,20.55
2013,August,13.3,23.4,18.35
2013,September,9.3,18.6,13.95
2013,October,5.2,11.4,8.3
2013,November,-4.4,4.2,-0.1
2013,December,-3.5,1.7,-0.9
2017,January,-7.7,0.5,-3.6
2017,February,-0.8,4.2,1.7
2017,March,1.2,12.2,6.7
2017,April,3.6,12.3,7.95
2017,May,5.8,14.8,10.3
2017,June,9.8,21.6,15.7
2017,July,12.2,23.3,17.75
2017,August,13.4,25.4,19.4
2017,September,7.1,16.3,11.7
2017,October,2.4,12.6,7.5
2017,November,-3.5,3.2,-0.15
2017,December,-6.7,0.9,-2.9
2021,January,-9.4,-1.5,-5.45
2021,February,-4.4,2.8,-0.8
2021,March,-1.5,8.9,3.7
2021,April,-0.7,9.2,4.25
2021,May,7.0,14.0,10.5
2021,June,13.1,23.1,18.1
2021,July,14.4,22.2,18.3
2021,August,9.6,20.9,15.25
2021,September,11.1,19.5,15.3
2021,October,1.7,12.1,6.9
2021,November,-2.3,3.5,0.6
2021,December,-5.7,1.7,-2.0
