Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
Aesculus hippocastanum,12.0,3.6,13.0,132.7
Aesculus hippocastanum,12.0,3.6,12.0,113.1
Aesculus hippocastanum,12.0,3.6,12.0,113.1
Aesculus hippocastanum,11.0,3.3,12.0,113.1
Aesculus hippocastanum,11.0,3.3,11.0,95.0
Aesculus hippocastanum,3.5,1.0,2.0,3.1
Aesculus hippocastanum,11.0,3.3,11.0,95.0
Aesculus hippocastanum,4.0,1.2,2.0,3.1
Carpinus betulus,14.0,4.2,4.0,12.6
Carpinus betulus,8.0,2.4,8.0,50.3
Carpinus betulus,8.0,2.4,7.0,38.5
Carpinus betulus,9.0,2.7,5.0,19.6
Carpinus betulus,9.0,2.7,5.0,19.6
Carpinus betulus,7.0,2.1,3.0,7.1
Carpinus betulus,8.0,2.4,5.0,19.6
Celtis australis,4.5,1.3,3.0,7.1
Celtis australis,4.5,1.3,3.0,7.1
Celtis australis,4.5,1.3,3.0,7.1
Celtis australis,4.5,1.3,3.0,7.1
Celtis australis,4.5,1.3,3.0,7.1
Celtis australis,5.0,1.5,3.0,7.1
Celtis australis,4.5,1.3,3.0,7.1
Celtis australis,8.0,2.4,6.0,28.3
Platanus x hispanica,25.0,7.5,14.0,153.9
Platanus x hispanica,22.0,6.6,16.0,201.1
Platanus x hispanica,15.0,4.5,16.0,201.1
Platanus x hispanica,23.0,6.9,14.0,153.9
Platanus x hispanica,23.0,6.9,17.0,227.0
Platanus x hispanica,21.0,6.3,13.0,132.7
Platanus x hispanica,20.0,6.0,17.0,227.0
Platanus x hispanica,26.0,7.8,18.0,254.5
Platanus x hispanica,22.0,6.6,15.0,176.7
Tilia cordata,15.0,4.5,4.0,12.6
Tilia cordata,4.5,1.3,3.0,7.1
Tilia cordata,4.5,1.3,2.5,4.9
Tilia cordata,4.5,1.3,1.0,0.8
Tilia cordata,4.5,1.3,2.0,3.1
Tilia cordata,5.0,1.5,3.0,7.1
Tilia cordata,5.0,1.5,3.0,7.1
