Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.3
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.3
Aesculus hippocastanum,11.0,12.0,113.1,3.3,17.7
Aesculus hippocastanum,10.0,11.0,95.0,3.0,17.6
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.1
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.1
Aesculus hippocastanum,10.0,11.0,95.0,3.0,15.5
Aesculus hippocastanum,10.0,10.0,78.5,3.0,13.4
Aesculus hippocastanum,9.0,10.0,78.5,2.7,9.6
Aesculus hippocastanum,9.0,10.0,78.5,2.7,9.6
Aesculus hippocastanum,10.0,12.0,113.1,3.0,27.0
Aesculus hippocastanum,10.0,10.0,78.5,3.0,19.8
Aesculus hippocastanum,9.0,7.0,38.5,2.7,6.9
Aesculus hippocastanum,10.0,10.0,78.5,3.0,17.6
Aesculus hippocastanum,10.0,10.0,78.5,3.0,17.6
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.1
Aesculus hippocastanum,10.0,12.0,113.1,3.0,17.6
Aesculus hippocastanum,11.0,11.0,95.0,3.3,17.7
Aesculus hippocastanum,11.0,12.0,113.1,3.3,27.1
Aesculus hippocastanum,12.0,12.0,113.1,3.6,22.3
Aesculus hippocastanum,12.0,12.0,113.1,3.6,22.3
Aesculus hippocastanum,10.0,12.0,113.1,3.0,12.6
Aesculus hippocastanum,12.0,13.0,132.7,3.6,13.6
Aesculus hippocastanum,12.0,13.0,132.7,3.6,29.7
Aesculus hippocastanum,11.0,13.0,132.7,3.3,27.1
Aesculus hippocastanum,4.0,3.0,7.1,1.2,2.4
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.6
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8
Aesculus hippocastanum,10.0,10.0,78.5,3.0,19.8
Aesculus hippocastanum,4.0,2.0,3.1,1.2,2.0
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.1
Aesculus hippocastanum,8.5,10.0,78.5,2.6,13.3
Aesculus hippocastanum,5.0,6.0,28.3,1.5,3.2
Aesculus hippocastanum,9.0,12.0,113.1,2.7,15.4
Aesculus hippocastanum,12.0,12.0,113.1,3.6,22.3
Aesculus hippocastanum,12.0,13.0,132.7,3.6,27.2
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.6
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.4
Aesculus hippocastanum,12.0,12.0,113.1,3.6,29.7
Aesculus hippocastanum,8.0,5.0,19.6,2.4,4.0
Aesculus hippocastanum,4.0,4.0,12.6,1.2,3.1
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.4
Aesculus hippocastanum,3.5,1.0,0.8,1.0,1.3
Aesculus hippocastanum,9.0,10.0,78.5,2.7,10.3
Aesculus hippocastanum,15.0,15.0,176.7,4.5,13.7
Aesculus hippocastanum,9.0,6.0,28.3,2.7,12.6
Aesculus hippocastanum,15.0,12.0,113.1,4.5,18.0
Aesculus hippocastanum,14.0,11.0,95.0,4.2,17.9
Aesculus hippocastanum,16.0,6.0,28.3,4.8,14.8
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.4
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,10.0,8.0,50.3,3.0,7.3
Aesculus hippocastanum,8.0,6.0,28.3,2.4,5.7
Aesculus hippocastanum,9.0,8.0,50.3,2.7,13.4
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.4
Aesculus hippocastanum,8.0,7.0,38.5,2.4,5.7
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.3
Aesculus hippocastanum,13.0,10.0,78.5,3.9,20.1
Aesculus hippocastanum,3.0,1.3,1.3,0.9,1.1
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6
Aesculus hippocastanum,12.0,10.0,78.5,3.6,13.6
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.4
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6
Aesculus hippocastanum,11.0,8.0,50.3,3.3,13.5
Aesculus hippocastanum,12.0,12.0,113.1,3.6,22.3
Aesculus hippocastanum,14.0,12.0,113.1,4.2,24.9
Aesculus hippocastanum,5.0,4.0,12.6,1.5,3.2
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.4
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6
Aesculus hippocastanum,8.0,8.0,50.3,2.4,9.6
Aesculus hippocastanum,7.0,5.0,19.6,2.1,5.6
Aesculus hippocastanum,7.0,6.0,28.3,2.1,5.6
