Neighborhood,Name,Count
ARGENTARIO,Celtis australis,61
ARGENTARIO,Aesculus hippocastanum,9
ARGENTARIO,Carpinus betulus,18
ARGENTARIO,Tilia cordata,5
ARGENTARIO,Platanus x hispanica,12
ARGENTARIO,Other,349
BONDONE,Celtis australis,1
BONDONE,Aesculus hippocastanum,21
BONDONE,Carpinus betulus,3
BONDONE,Tilia cordata,9
BONDONE,Platanus x hispanica,2
BONDONE,Other,256
CENTRO STORICO PIEDICASTELLO,Celtis australis,242
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,91
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,159
CENTRO STORICO PIEDICASTELLO,Tilia cordata,55
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,192
CENTRO STORICO PIEDICASTELLO,Other,2225
GARDOLO,Celtis australis,211
GARDOLO,Aesculus hippocastanum,4
GARDOLO,Carpinus betulus,53
GARDOLO,Tilia cordata,216
GARDOLO,Platanus x hispanica,169
GARDOLO,Other,998
