Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
S.GIUSEPPE-S.CHIARA,Other,16,14,153.9,4.8,48.5,2
CENTRO STORICO PIEDICASTELLO,Celtis australis,16,12,113.1,4.8,5.4,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,8.699999999999999,1
OLTREFERSINA,Other,5,4,12.6,1.5,4.1,1
OLTREFERSINA,Other,1.3,1.7,2.1,0.4,5.1,1
OLTREFERSINA,Celtis australis,10,8,50.3,3,4.9,1
S.GIUSEPPE-S.CHIARA,Other,10.4,6,28.2,3.1,7,1
GARDOLO,Other,4,3,7.1,1.2,3.6,2
OLTREFERSINA,Other,5.5,4,12.6,1.7,7.7,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,27.9,1
S.GIUSEPPE-S.CHIARA,Celtis australis,10,6,28.3,3,4.8,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,8,50.3,3.6,26.1,3
S.GIUSEPPE-S.CHIARA,Other,4.5,2,3.1,1.3,2.2,1
ARGENTARIO,Other,4,2,3.1,1.2,19.3,1
S.GIUSEPPE-S.CHIARA,Other,4.5,2,3.1,1.3,0.5,1
RAVINA-ROMAGNANO,Celtis australis,5,4,12.6,1.5,2.6,1
ARGENTARIO,Other,7,4,12.6,2.1,8.4,4
CENTRO STORICO PIEDICASTELLO,Other,10,10,78.5,3,0.8,1
S.GIUSEPPE-S.CHIARA,Other,4,1.5,1.8,1.2,3.2,1
CENTRO STORICO PIEDICASTELLO,Other,8,5,19.6,2.4,12.6,1
S.GIUSEPPE-S.CHIARA,Other,11,6,28.3,3.3,15.1,1
VILLAZZANO,Other,10,5,19.6,3,16.8,2
GARDOLO,Tilia cordata,7,5,19.6,2.1,13,2
OLTREFERSINA,Other,4,3.5,9.6,1.2,4.4,1
OLTREFERSINA,Other,14,8,50.3,4.2,35.5,1
GARDOLO,Other,4,2,3.1,1.2,13,2
CENTRO STORICO PIEDICASTELLO,Other,2,1.5,1.8,0.6,5.6,1
MATTARELLO,Other,5,2,3.1,1.5,4.3,1
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,11.6,2
CENTRO STORICO PIEDICASTELLO,Other,17,11,95,5.1,107.1,1
CENTRO STORICO PIEDICASTELLO,Other,11,12,113.1,3.3,43.4,1
S.GIUSEPPE-S.CHIARA,Other,10,3,7.1,3,36.6,1
OLTREFERSINA,Tilia cordata,13,10,78.5,3.9,16,1
CENTRO STORICO PIEDICASTELLO,Other,12,10,78.5,3.6,50.1,1
CENTRO STORICO PIEDICASTELLO,Other,10,1.5,1.8,3,5.1,1
OLTREFERSINA,Other,4,3,7.1,1.2,5.1,3
MATTARELLO,Other,5,5,19.6,1.5,18.2,2
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,3.3,2
VILLAZZANO,Other,14,5,19.6,4.2,0.7,1
OLTREFERSINA,Other,8,3.5,9.6,2.4,6.3,1
ARGENTARIO,Celtis australis,10,8,50.3,3,3.4,1
S.GIUSEPPE-S.CHIARA,Other,6,5,19.6,1.8,57.7,1
ARGENTARIO,Carpinus betulus,3,1,0.8,0.9,4.5,3
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,3.2,2
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,6,4,12.6,1.8,10.9,1
S.GIUSEPPE-S.CHIARA,Other,18,6,28.3,5.4,21.4,8
OLTREFERSINA,Celtis australis,12,12,113.1,3.6,4.7,1
RAVINA-ROMAGNANO,Other,14,5,19.6,4.2,20,1
CENTRO STORICO PIEDICASTELLO,Other,6,6,28.3,1.8,6.4,3
VILLAZZANO,Tilia cordata,4.5,3,7.1,1.3,2.2,3
OLTREFERSINA,Other,5,4,12.6,1.5,8.1,1
GARDOLO,Other,6.5,6,28.3,1.9,12.7,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,4,3,7.1,1.2,8.6,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,6,9,63.6,1.8,3.4,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,19.3,1
CENTRO STORICO PIEDICASTELLO,Other,8,3,7.1,2.4,4.5,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,25,4,12.6,7.5,3.9,1
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,2.2,1
VILLAZZANO,Other,5,2,3.1,1.5,15.6,1
MEANO,Other,6,6,28.3,1.8,7.1,2
CENTRO STORICO PIEDICASTELLO,Other,10,6,28.3,3,60,1
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,8.6,1
S.GIUSEPPE-S.CHIARA,Other,10,7,38.5,3,9.199999999999999,2
GARDOLO,Other,2,2,3.1,0.6,1,1
OLTREFERSINA,Other,8,5,19.6,2.4,8.1,1
OLTREFERSINA,Other,8,4,12.6,2.4,7.1,1
CENTRO STORICO PIEDICASTELLO,Other,11,12,113.1,3.3,10,1
ARGENTARIO,Celtis australis,5,7,38.5,1.5,3,1
CENTRO STORICO PIEDICASTELLO,Other,6.5,7,38.5,1.9,4.8,1
S.GIUSEPPE-S.CHIARA,Other,7,6,28.3,2.1,7.7,1
OLTREFERSINA,Other,2,1,0.8,0.6,2.6,2
CENTRO STORICO PIEDICASTELLO,Other,11,8,50.3,3.3,18,1
OLTREFERSINA,Other,5,4,12.6,1.5,8.6,2
MATTARELLO,Other,5,3,7.1,1.5,16.8,1
OLTREFERSINA,Other,10,7,38.5,3,7.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,3.5,2.5,4.9,1,3.8,1
S.GIUSEPPE-S.CHIARA,Other,12,6,28.3,3.6,12,1
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,4.6,3
S.GIUSEPPE-S.CHIARA,Other,11,8,50.3,3.3,11.9,1
OLTREFERSINA,Other,8,6,28.3,2.4,13.6,1
GARDOLO,Other,11,5,19.6,3.3,11.3,3
CENTRO STORICO PIEDICASTELLO,Other,10,15,176.7,3,17.6,1
